PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
60.5,98,2.35,30.8,18.25,8.5,0.1,11.85,126.4,0.1,6.1,0.1,
65.5,111.25,2.7,24.2,15.07,9.77,0.1,13.17,117.12,0.1,6.25,0.15,
80,132,2.1,25.18,15.15,12.02,0.1,12.08,98.98,0.2,5.98,0.18,
81.5,133.25,1.95,16.25,10.23,11.58,0.1,10.47,112.2,0.2,6.72,0.1,
75.25,116,1.43,17.48,10.43,12.03,0.1,9.12,106.35,0.2,5.75,0.08,
69.25,108.25,0.7,18.47,10.38,13.8,0.1,9.25,91.1,0.2,5.02,0,
67.5,111.5,1.05,12.15,7.3,17.65,0.1,9.4,112.7,0.2,5.6,0.1,
68,111,1.25,14.12,8.5,20.28,0.1,8.9,116.12,0.2,5.55,0.05,
73,102,0.3,14.3,7.9,11.5,0.3,11.8,121.5,0.2,6.6,0,
81,123,0.8,24.85,13.88,10.28,0.1,11.62,83.8,0.23,6.77,0.1,
82.5,122.75,1.25,21.82,12.65,10.18,0.1,12.7,87.25,0.2,5.98,0.08,
77.5,112.5,0.5,23.5,12.9,8.9,0.1,11.58,76.45,0.2,6.02,0,
77,112.5,1.3,23.58,13.6,8.75,0.1,11.1,101.93,0.2,7.68,0.1,
80.75,122,1.08,19.2,11.08,9.3,0.1,12.58,107.77,0.2,8.32,0.1,
83,137,2.12,26.03,15.62,7.73,0.1,12.75,93.57,0.28,11.88,0.1,
,,,,,,,,,,,,
104,148.5,1.93,23,13.75,9.8,0.1,15.3,117.62,0.3,10.4,0.23,155
94.5,142,1.33,16.25,9.75,9.65,0.1,17,136.23,0.28,7.1,0.15,159
82.75,126.5,1.47,14.83,9.07,9.7,0.1,15.4,149.92,0.2,4.55,0.08,173
79,124,5.3,21.15,15.53,9.4,0.1,,156.8,0.2,4,0,184
,,,,,,,,,,,,184
68.5,117,1.35,13.6,8.35,7.4,0.1,21.8,161.7,0.1,2.3,0,191
69.25,112.25,1.52,11.8,7.55,9.25,0.1,21.38,161.68,0.1,2.35,0,191
70,107,2.8,30.33,18.4,6.15,0.1,18.9,147.97,0.1,3.7,0,191
72.75,120.25,1.5,26.72,15.45,10.78,0.1,16.03,137.2,0.1,5.7,0.03,191
81.5,134.75,1.1,18.78,10.88,14.73,0.1,12.93,146.03,0.2,7.15,0.1,191
85,142.5,1.62,26.2,15.27,14.5,0.2,12.9,123,0.2,7.15,0,191
91.5,145.75,0.98,18.88,10.83,14.12,0.2,15.22,146.52,0.2,8.1,0.05,191
92.5,131.25,0.55,21.35,11.8,12.23,0.1,17.45,149.45,0.23,7.72,0.1,191
89.25,123.5,0.65,11.55,6.68,10.85,0.1,22.15,158.75,0.2,7.92,0.05,191
87.5,121,0.9,29.1,16.25,10.28,0.1,20.5,114.67,0.2,5.97,0.1,186
97,135.75,1.13,19.8,11.45,11.83,0.1,21.57,141.6,0.25,7.58,0.2,186
91.5,131.75,0.4,18.07,9.9,11.32,0.1,15.83,138.65,0.23,6.18,0.1,186
85.5,125.25,0.55,17.85,9.95,13.1,0.1,14.08,140.63,0.23,6.8,0.1,186
88.25,131.25,0.18,17.8,9.55,12.75,0.13,14.02,120.55,0.2,6.5,0,186
85,122.25,0.25,15.13,8.23,10.35,0.1,14.23,110.27,0.23,6.62,0.03,186
91,129,0.13,16.58,8.9,9.85,0.1,15.9,132.78,0.3,8.72,0.1,186
98.25,137.75,0.38,31.75,17.18,9,0.1,12.12,89.2,0.33,14.33,0.1,186
103,144.75,1.37,40.5,22.7,9.67,0.1,10.42,36.75,0.3,12.4,0.1,189
97.75,143,2,38.48,22.12,10.73,0.1,16.12,92.12,0.3,11.03,0.15,191
96.25,143.25,1.4,19.15,11.33,11.85,0.1,27.35,150.92,0.25,10.65,0.15,189
64.75,126,1.22,20.28,11.8,10.55,0.1,45.65,161.2,0.2,7.08,0.08,190
21,122.5,1.35,14.78,8.93,10.4,0.1,31.1,176.4,0.2,5.12,0.08,221
70.25,110.25,1.57,28.1,16.22,6.2,0.1,107.92,149.47,0.2,5.05,0,221
64,105,1.5,20.38,12.05,7.65,0.1,98.58,142.1,0.1,4.25,0,221
60.5,103.75,1.75,23.83,14.15,8.9,0.1,62.57,145.05,0.1,3.77,0.03,221
57,96.5,1.35,17.02,10.15,9.92,0.1,43.23,148,0.1,5.1,0,221
53.25,87.25,1.4,13.93,8.53,9.47,0.1,13.22,155.3,0.1,6.02,0.03,221
59.5,92.5,1.32,16.1,9.65,9.45,0.1,11.45,143.05,0.1,6.38,0,221
61,104.25,1.15,25.38,14.45,12.08,0.1,11.47,125.92,0.15,7.9,0.03,221
72.5,134.75,0.75,31.43,17.3,11.35,0.13,13.1,97.98,0.23,8.9,0.08,181
80,159.5,3.97,41.65,25.4,11.25,0.18,12.47,70.07,0.3,9.22,0.1,181
84,160,0.73,48.07,26.2,11.2,0.5,12.1,56.85,0.28,9.58,0.1,181
95.75,172.75,1.35,34.12,19.25,9.83,0.53,10.23,48.52,0.35,10.65,0.15,181
102.75,178.5,2.93,53.72,30.97,8,0.1,12.42,45.08,0.33,10.92,0.3,181
124.75,207,1.78,51.25,28.7,9.7,0.08,12,54.87,0.4,10.95,0.4,165
115.25,169.5,1.05,26.75,15.08,12.33,0.1,7.8,72.55,0.4,9.45,0.33,168
96.5,136,0.58,22.75,12.58,11.3,0.1,8.33,75.95,0.38,7.85,0.2,170
93.75,132,0.65,18.08,10.1,12.98,0.18,7.53,77.92,0.4,8.8,0.1,171
98.25,136.75,0.33,21.37,11.62,19.05,0.13,5.78,75.95,0.4,9.1,0.08,172
96.75,133.75,0.35,21.68,11.8,13.05,0.2,7,109.78,0.38,9.45,0.05,173
